learning_rate,epoch_number,parameter_names,residual_weights,error
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","0.1,0.1,0.1,1e-14,1e-15,1e-08",3248.624066180477
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","0.1,0,0,0,0,0",3248.6239090580843
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0,0,0,0",3248.6239142460336
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0.1,0,0,0",3248.624020466769
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0.1,1e-14,0,0",3248.6240201437618
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0.1,1e-14,1e-15,0",3248.624007684146
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0.1,1e-14,1e-15,1e-08",3248.624066173244
0.0001,1000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0.1,1e-14,1e-15,1e-10",3248.624007166975
0.0001,100000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0.1,1e-14,1e-15,1e-10",3248.623651917584
0.0001,10000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","0,0,0,0,0,0",3248.623909050393
0.0001,10000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0,0,0,0,0",3248.6239092987284
0.0001,10000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.1,0,0,0,0",3248.6239095056817
0.0001,10000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.01,0,0,0,0",3248.623920577784
0.0001,10000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.01,1,0,0,0",3248.62417427788
0.0001,10000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.01,1,1e-14,1e-15,1e-10",3248.624068081096
0.0001,300000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle,v_max_TCA_cycle,Ki_ACE_TCA_cycle,Y,v_max_acetate_exchange,Km_ACE_acetate_exchange","1,0.01,1,1e-14,1e-15,1e-10",3248.572409130305
0.0001,300000,"v_max_AckA,v_max_Pta,Ki_ACE_glycolysis,Km_ACCOA_TCA_cycle","1,0.01,1,1e-14,1e-15,1e-10",3248.598310644838
